Category: All categories

Week,influenza type a: (Canada),get over the flu: (Canada),flu care: (Canada),symptoms of flu: (Canada),treating flu: (Canada)
2023-10-08,0,0,12,31,0
2023-10-15,0,0,10,45,0
2023-10-22,0,0,18,28,0
2023-10-29,0,0,7,36,0
2023-11-05,0,0,8,33,0
2023-11-12,0,0,11,37,0
2023-11-19,0,0,7,37,0
2023-11-26,13,0,10,46,0
2023-12-03,0,0,8,55,0
2023-12-10,0,0,8,49,0
2023-12-17,14,0,9,55,0
2023-12-24,0,0,0,59,0
2023-12-31,10,0,0,50,0
2024-01-07,0,0,0,36,0
2024-01-14,0,0,8,40,0
2024-01-21,0,0,0,24,0
2024-01-28,8,0,0,30,0
2024-02-04,0,0,0,39,0
2024-02-11,0,0,0,34,0
2024-02-18,0,0,0,35,0
2024-02-25,0,0,0,31,0
2024-03-03,0,0,0,27,0
2024-03-10,0,0,0,28,0
2024-03-17,0,0,0,19,0
2024-03-24,0,0,0,25,0
2024-03-31,0,0,0,35,0
2024-04-07,0,0,0,25,0
2024-04-14,0,0,0,23,0
2024-04-21,0,0,0,24,0
2024-04-28,0,0,0,27,0
2024-05-05,0,0,0,22,0
2024-05-12,0,0,0,22,0
2024-05-19,0,0,0,17,0
2024-05-26,0,0,0,22,0
2024-06-02,0,0,0,16,0
2024-06-09,0,0,0,16,0
2024-06-16,0,0,0,14,0
2024-06-23,0,0,0,15,0
2024-06-30,0,0,0,21,0
2024-07-07,0,0,0,12,0
2024-07-14,0,0,0,13,0
2024-07-21,0,10,0,12,0
2024-07-28,0,0,0,11,0
2024-08-04,0,0,0,11,0
2024-08-11,0,0,0,11,0
2024-08-18,0,0,0,16,0
2024-08-25,0,0,0,14,0
2024-09-01,0,0,0,12,0
2024-09-08,0,0,0,22,0
2024-09-15,0,0,0,23,0
2024-09-22,0,0,0,22,0
2024-09-29,0,0,0,22,0
2024-10-06,0,0,0,28,0
2024-10-13,0,0,12,23,0
2024-10-20,0,0,9,32,0
2024-10-27,0,0,11,30,0
2024-11-03,0,0,11,26,0
2024-11-10,0,0,0,66,0
2024-11-17,0,0,9,36,0
2024-11-24,0,0,0,28,0
2024-12-01,0,0,0,38,0
2024-12-08,0,0,0,37,0
2024-12-15,0,0,0,38,0
2024-12-22,0,0,0,49,0
2024-12-29,0,0,0,56,0
2025-01-05,0,0,0,46,0
2025-01-12,0,0,0,42,0
2025-01-19,0,0,0,37,0
2025-01-26,9,0,8,45,0
2025-02-02,14,0,0,54,0
2025-02-09,15,0,8,52,0
2025-02-16,0,0,18,62,0
2025-02-23,0,0,0,45,0
2025-03-02,0,0,0,48,0
2025-03-09,8,0,0,39,0
2025-03-16,0,0,0,33,0
2025-03-23,0,0,0,33,0
2025-03-30,0,0,0,29,0
2025-04-06,0,0,0,34,0
2025-04-13,0,0,0,24,0
2025-04-20,0,0,0,21,0
2025-04-27,0,0,0,25,0
2025-05-04,8,0,0,20,0
2025-05-11,0,0,0,20,0
2025-05-18,0,0,0,16,0
2025-05-25,0,0,0,14,0
2025-06-01,0,0,0,14,0
2025-06-08,0,0,0,18,0
2025-06-15,1,1,3,13,0
2025-06-22,1,0,2,12,0
2025-06-29,0,0,0,16,0
