date,influenza type a,get over the flu,type a influenza,flu care,symptoms of flu,treating flu,i have the flu,how long contagious,flu duration,flu vs cold,taking temperature,fight the flu,flu contagious,having the flu,flu versus cold,reduce a fever,flu fever,treatment for flu,bronchitis,cure the flu,treat the flu,human temperature,how long flu,medicine for flu,how to treat the flu,dangerous fever,flu germs,flu length,signs of the flu,the flu,cold vs flu,cure flu,over the counter flu,remedies for flu,flu and cold,exposed to flu,how long is the flu,influenza a and b,thermoscan,low body,symptoms of the flu,contagious flu,flu complications,early flu symptoms,flu recovery,how long does the flu last,high fever,remedies for the flu,cold or flu,fever flu,flu children,flu report,flu medicine,oscillococcinum,the flu virus,incubation period for flu,flu or cold,flu remedies,how to treat flu,break a fever,normal body,how long is flu contagious,pneumonia,flu contagious period,is flu contagious,flu treatments,flu headache,influenza incubation period,treat flu,influenza symptoms,flu in children,is the flu contagious,braun thermoscan,how to get rid of the flu,what to do if you have the flu,reduce fever,fever cough,flu how long,medicine for the flu,flu treatment,cold and flu,flu lasts,how long is the flu contagious,normal body temperature,over the counter flu medicine,incubation period for the flu,fever reducer,get rid of the flu,treating the flu,do i have the flu
2022-03-06,0,0,0,0,25,0,0,31,0,0,0,0,17,0,0,0,3,0,29,0,0,12,19,3,0,1,0,0,0,26,2,0,0,0,22,0,7,0,0,87,0,17,0,0,0,5,26,0,3,7,11,0,25,0,0,0,18,0,0,19,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,12,19,0,0,22,0,0,30,0,0,49,0,0,0
2022-03-13,0,0,0,0,24,1,0,37,0,2,8,0,22,0,0,0,3,0,31,0,0,11,24,0,0,2,0,0,0,23,3,2,0,0,26,0,0,0,0,83,0,22,0,0,0,5,35,0,5,8,0,0,15,0,10,0,28,29,0,21,8,0,18,0,1,0,0,0,0,5,0,0,0,0,0,5,8,24,0,3,26,0,0,28,0,0,0,0,0,0
2022-03-20,0,0,0,0,25,0,0,48,0,1,8,0,31,0,0,0,4,0,35,0,0,13,22,0,0,2,0,1,0,25,2,0,0,0,32,0,0,0,0,72,8,31,0,0,0,4,36,0,4,10,11,0,23,0,0,0,24,17,0,24,9,0,19,0,1,0,0,0,0,8,0,29,21,0,0,4,13,22,0,4,32,0,0,35,0,0,0,0,0,0
2022-03-27,0,0,0,6,28,0,0,58,0,2,6,0,25,0,0,0,4,2,37,0,0,16,26,4,0,2,0,0,0,29,6,0,0,0,39,0,9,0,9,87,12,25,0,0,0,6,45,0,7,10,8,0,29,0,15,0,37,29,0,35,10,0,19,0,1,0,5,0,6,11,0,27,0,0,0,7,10,26,0,5,39,0,0,38,0,0,0,0,0,0
2022-04-03,0,0,0,0,28,0,1,76,0,2,11,0,30,0,0,0,5,0,40,1,0,17,26,2,0,3,0,0,0,31,5,0,0,0,48,0,9,0,10,82,8,30,0,0,0,7,44,0,6,12,0,10,40,13,10,0,35,19,0,34,11,0,22,0,1,0,6,0,5,9,0,29,35,0,0,6,14,26,0,6,50,0,0,44,0,0,0,0,0,0
2022-04-10,0,0,0,0,36,0,1,80,0,2,11,0,34,0,0,1,5,0,48,0,0,18,28,3,0,3,0,1,0,29,7,0,0,0,43,0,11,0,10,93,10,34,0,0,0,5,50,0,5,12,0,0,26,0,0,0,31,0,19,29,11,1,23,0,1,0,6,0,0,8,0,42,30,0,0,7,16,28,0,5,43,0,3,45,0,0,0,0,0,0
2022-04-17,0,0,0,7,39,0,2,61,0,3,7,0,29,0,0,0,4,0,49,0,0,20,23,4,0,1,0,0,0,27,9,0,0,0,44,0,9,0,6,86,11,29,0,0,0,5,43,0,6,10,0,0,33,10,14,0,31,16,0,30,11,0,23,0,1,0,6,0,0,15,0,0,18,0,0,6,17,23,0,4,44,0,3,47,0,0,0,0,0,0
2022-04-24,0,0,0,0,41,0,1,54,0,1,10,0,29,0,0,0,5,0,47,2,0,17,25,3,0,2,0,0,0,30,4,3,0,0,43,0,9,0,7,73,11,29,0,0,0,7,38,0,5,11,0,0,31,0,14,0,27,0,0,37,10,0,23,0,1,0,5,0,5,20,0,30,33,0,0,5,15,25,0,6,42,0,2,41,0,0,0,36,0,0
2022-05-01,0,0,0,0,37,0,1,45,0,2,6,0,30,6,0,1,4,0,51,0,0,13,24,4,0,2,0,0,0,28,6,0,0,0,37,0,0,0,10,58,13,30,0,0,0,4,41,0,6,9,0,0,27,0,11,0,32,22,0,35,9,0,22,0,1,0,5,0,0,24,0,28,33,0,0,7,17,24,0,0,37,0,0,33,0,0,0,0,0,0
2022-05-08,0,0,0,0,26,0,0,38,0,2,7,0,31,0,0,0,4,0,51,0,0,16,20,3,0,2,0,0,0,26,6,0,0,0,37,0,0,0,12,58,9,31,0,0,0,5,46,0,3,11,0,0,29,0,15,0,17,21,0,45,8,0,23,0,1,0,5,0,0,19,0,23,25,0,0,6,18,20,0,5,38,0,0,32,0,0,0,0,0,0
2022-05-15,0,0,0,0,22,0,1,35,0,1,0,0,22,0,0,0,4,0,48,0,0,15,19,3,0,2,0,0,0,22,4,0,0,0,32,0,0,0,0,59,0,22,0,0,0,5,38,0,8,10,0,10,23,0,0,0,47,0,0,31,8,0,22,0,1,0,0,0,0,17,0,0,23,0,0,4,17,19,0,4,31,0,0,31,0,0,0,0,0,0
2022-05-22,0,0,0,0,25,0,1,33,0,2,0,0,26,0,0,0,5,0,55,0,0,12,22,3,0,2,0,0,0,21,5,0,0,0,31,0,9,0,11,72,7,26,0,0,0,4,44,0,5,12,0,0,18,11,0,0,26,0,25,30,9,0,22,0,0,0,0,0,0,15,0,0,0,0,0,5,20,22,0,5,31,0,3,34,0,0,0,0,0,0
2022-05-29,0,0,0,0,23,0,0,30,0,1,0,0,18,0,0,0,3,0,55,0,0,13,18,0,0,2,0,0,0,19,4,0,0,0,31,0,0,0,8,72,11,18,0,0,0,4,37,0,6,7,0,0,17,0,0,0,34,0,0,23,8,0,22,0,1,0,6,0,5,10,0,0,0,0,0,3,16,18,0,0,31,0,0,28,0,0,0,0,0,0
2022-06-05,0,0,0,7,24,0,0,33,0,1,0,0,19,0,0,0,5,0,49,0,0,13,19,3,0,2,0,0,0,19,3,0,0,0,33,0,0,0,8,63,15,19,0,0,0,4,37,0,0,13,0,0,20,0,11,0,0,0,0,34,7,0,21,0,1,0,5,0,0,15,0,0,0,0,0,5,21,19,0,4,34,0,0,27,0,56,0,0,0,0
2022-06-12,0,0,0,0,22,0,0,34,0,1,0,0,20,0,0,0,3,0,56,0,0,15,13,0,0,2,0,0,0,18,4,0,0,0,32,0,9,0,9,68,8,20,0,0,0,0,42,0,5,8,0,0,19,0,0,0,26,0,0,0,8,0,21,0,1,0,6,0,0,12,0,0,26,0,0,4,18,13,0,0,33,0,0,29,0,0,0,0,0,0
2022-06-19,0,0,0,0,18,0,0,40,0,0,0,0,18,0,0,0,3,0,55,0,0,17,15,0,0,2,0,0,0,16,3,0,0,0,40,0,0,0,0,74,7,18,0,0,0,4,44,0,4,8,0,0,19,0,0,0,20,0,0,40,7,0,24,0,1,0,0,0,0,11,0,0,0,0,0,4,24,15,0,4,39,0,0,30,0,0,0,0,0,0
2022-06-26,0,0,0,0,16,0,0,46,0,1,0,0,22,0,0,0,4,0,53,0,0,9,15,0,0,2,0,0,0,14,3,0,0,0,30,0,0,0,0,45,0,22,0,0,0,0,48,0,5,11,0,0,23,0,0,0,29,22,0,29,8,0,24,0,0,6,0,0,0,7,0,0,0,0,0,7,20,15,0,3,30,0,0,34,0,0,0,0,0,0
2022-07-03,0,0,0,9,23,0,1,52,0,2,0,0,13,0,0,0,7,0,51,0,0,13,17,0,0,3,0,0,0,18,6,0,0,0,41,0,0,0,0,67,0,13,0,0,0,0,47,0,5,16,0,0,31,0,0,0,31,24,0,38,9,0,23,0,0,0,0,0,0,6,0,0,0,0,0,6,20,17,0,0,42,0,0,38,0,0,0,0,0,0
2022-07-10,0,0,0,0,26,0,0,59,0,1,7,0,10,0,0,2,4,0,46,0,0,13,13,0,0,2,0,0,0,14,4,0,0,0,35,0,0,0,0,64,0,10,0,0,0,0,42,0,5,10,0,0,21,0,0,0,28,0,0,0,9,0,22,0,0,0,0,0,0,6,0,0,0,0,0,6,18,13,0,0,34,0,0,34,0,0,0,0,0,0
2022-07-17,0,0,0,0,19,0,0,55,0,1,0,0,7,0,0,0,4,0,44,0,0,13,13,0,0,2,0,0,0,14,3,0,0,0,37,0,8,0,0,67,0,7,0,0,0,0,45,0,7,11,0,0,21,0,11,0,39,0,0,48,10,0,20,0,0,0,0,0,5,5,0,0,0,0,0,8,14,13,0,4,37,0,0,43,0,0,0,0,0,0
2022-07-24,0,0,0,0,24,0,1,56,0,0,0,0,14,0,0,0,3,0,41,0,0,13,13,0,0,2,0,0,0,14,0,0,0,0,32,0,0,0,10,66,8,14,0,0,0,0,42,0,4,8,0,0,25,0,0,0,24,0,0,23,10,0,19,0,1,0,0,0,0,7,0,0,26,0,0,7,15,13,0,4,32,0,0,42,0,0,0,0,0,0
2022-07-31,0,0,0,0,21,0,0,51,0,1,0,0,8,0,0,0,3,0,40,0,0,14,14,0,0,2,0,0,0,13,0,0,0,0,29,0,0,9,0,53,7,8,0,0,0,0,43,0,0,9,0,0,24,0,0,0,0,0,0,28,8,0,16,0,1,0,0,0,0,5,0,0,0,0,0,6,14,14,0,0,29,0,0,32,0,0,0,0,0,0
2022-08-07,0,0,0,0,17,0,0,39,0,0,0,0,13,0,0,0,4,0,45,0,0,14,15,0,0,1,0,0,0,13,0,0,0,0,25,0,0,0,0,71,0,13,0,0,0,0,38,0,4,11,0,0,0,11,0,0,22,0,0,35,8,0,16,0,0,0,5,0,0,5,0,0,0,0,0,6,9,15,0,4,23,0,0,31,0,0,0,0,0,0
2022-08-14,0,0,0,0,13,0,0,41,0,1,7,0,10,0,0,0,4,0,35,0,0,11,15,0,0,2,0,0,0,14,3,0,0,0,29,0,0,0,0,62,0,10,0,0,0,4,41,0,4,10,0,0,15,0,0,0,23,0,0,22,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,11,15,0,0,30,0,0,27,0,0,0,0,0,0
2022-08-21,0,0,0,0,18,0,0,39,0,0,0,0,15,0,0,0,3,0,37,0,0,12,13,0,0,1,0,0,0,15,0,0,0,0,32,0,0,0,0,60,0,15,0,0,0,0,41,0,0,8,11,0,21,0,14,0,0,0,0,37,8,0,17,0,1,0,0,0,0,5,0,0,31,0,0,5,13,13,0,0,31,0,0,30,0,0,0,0,0,0
2022-08-28,0,0,0,0,15,0,0,36,0,1,7,0,16,0,0,0,3,0,36,0,0,13,15,3,0,2,0,0,0,13,3,0,0,0,29,0,0,0,0,56,0,16,0,0,0,0,36,0,5,8,0,0,12,0,0,0,26,0,0,26,7,0,20,0,0,0,0,0,0,5,0,0,0,0,0,6,11,15,0,0,30,0,0,32,0,0,0,0,0,0
2022-09-04,0,0,0,0,20,0,0,30,0,2,8,0,0,0,0,0,3,0,39,0,0,13,15,0,0,1,0,0,0,17,4,0,0,0,27,0,0,0,12,59,0,0,0,0,0,0,27,0,0,8,0,0,21,0,13,0,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,25,0,0,0,9,15,0,0,27,0,0,33,0,0,0,0,0,0
2022-09-11,0,0,0,0,21,0,0,32,0,2,0,0,14,8,0,0,5,0,40,0,0,13,17,0,0,2,0,0,0,22,3,0,0,0,42,0,0,0,7,56,7,14,0,0,0,4,38,0,6,12,0,0,22,0,0,0,35,0,0,27,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,15,17,0,0,43,0,0,30,0,0,0,0,0,0
2022-09-18,0,0,0,15,26,0,1,33,0,2,12,0,17,0,0,0,5,0,51,0,0,15,22,4,0,2,0,0,0,26,7,0,0,0,53,0,0,0,0,69,9,17,0,0,0,4,34,0,10,13,0,0,33,0,0,0,54,0,0,43,9,0,22,0,1,0,6,0,0,0,0,0,22,0,0,8,13,22,0,0,54,0,0,42,0,0,0,0,0,0
2022-09-25,0,0,0,7,29,0,1,38,0,2,7,0,20,0,0,0,6,0,59,0,0,15,24,4,0,2,0,0,0,31,6,0,0,0,56,0,7,0,0,67,9,20,0,0,0,6,41,0,9,14,0,0,43,11,0,0,48,28,0,0,9,0,27,0,0,0,0,0,6,7,0,0,31,0,0,7,16,24,0,4,56,0,0,35,0,0,0,0,0,0
2022-10-02,0,0,0,11,41,0,1,41,0,3,8,0,26,0,0,0,6,0,69,0,0,12,32,4,0,2,0,0,0,35,9,0,0,0,57,0,11,0,10,68,15,26,0,0,0,4,43,0,6,16,13,0,44,16,16,0,34,21,0,24,8,0,30,0,1,0,4,0,7,11,0,26,22,0,0,7,19,32,0,4,57,0,0,33,0,0,0,0,0,0
2022-10-09,0,0,0,16,36,0,2,41,0,2,11,0,32,0,0,0,7,0,67,0,0,12,42,4,0,1,0,0,0,52,7,3,0,0,57,0,9,0,10,69,12,32,0,0,0,7,40,0,11,18,12,0,54,0,19,0,61,21,0,37,9,0,30,0,1,0,6,0,7,11,0,24,34,0,0,6,21,42,0,5,58,0,0,38,0,0,0,0,0,0
2022-10-16,0,0,0,17,44,0,2,37,0,3,13,0,33,7,0,1,10,0,72,0,0,18,57,3,0,2,0,0,0,67,9,0,0,0,70,0,17,0,15,63,14,33,0,0,0,7,51,0,8,24,26,10,71,0,19,0,44,0,0,0,8,0,34,0,1,0,9,0,6,15,0,38,0,0,0,6,24,57,0,5,69,0,0,34,0,0,0,0,0,41
2022-10-23,8,0,8,17,60,0,3,38,0,4,0,0,32,10,0,0,12,0,79,0,0,16,59,4,0,2,0,0,0,68,10,3,0,0,70,0,16,0,17,76,21,32,0,0,0,8,70,0,10,29,28,0,63,12,17,0,56,31,0,55,9,0,35,0,1,0,12,0,5,21,31,34,33,0,0,9,30,59,0,5,67,0,2,37,0,0,0,0,0,75
2022-10-30,0,0,0,18,66,0,4,37,0,4,13,0,45,13,0,3,15,1,84,0,0,17,72,7,0,4,0,0,0,76,12,0,0,0,84,0,21,0,13,72,22,45,0,0,0,13,83,0,13,37,28,0,58,19,14,0,74,29,0,67,11,1,42,0,1,0,15,0,7,30,23,65,29,0,0,14,43,72,0,7,86,0,3,44,0,0,0,81,0,85
2022-11-06,0,0,0,23,73,0,4,36,1,4,10,0,50,10,0,2,17,0,100,0,0,14,78,6,0,5,0,0,0,81,11,0,0,3,85,0,22,0,19,70,24,50,0,0,0,13,92,0,15,43,50,0,64,23,28,0,85,49,22,82,10,1,45,0,1,0,16,0,7,52,26,51,48,0,0,15,47,78,0,7,84,0,3,42,0,0,64,0,0,73
2022-11-13,10,7,10,20,80,0,4,37,1,6,10,0,82,16,0,2,21,0,91,0,0,21,100,5,0,5,0,0,0,100,15,0,0,3,100,0,30,0,10,79,28,82,0,0,0,18,100,0,18,52,66,17,72,24,30,0,100,63,28,72,11,1,46,0,2,0,17,0,9,82,45,86,25,27,0,17,40,100,0,8,100,0,6,44,0,0,75,69,0,81
2022-11-20,10,11,10,20,100,0,4,34,1,6,8,0,70,11,0,2,22,0,99,2,0,17,85,6,3,4,1,0,1,90,16,0,0,3,95,0,20,0,15,77,38,70,0,0,7,15,89,0,18,55,42,0,77,21,37,0,99,48,36,80,10,1,48,0,2,0,16,0,11,91,41,50,44,25,0,13,48,85,0,7,95,0,3,41,0,0,77,63,0,52
2022-11-27,10,0,10,16,70,0,4,33,1,6,8,0,76,19,0,0,21,1,92,0,0,16,76,7,0,5,0,0,0,74,16,0,0,3,88,0,28,0,13,75,24,76,0,0,8,16,79,0,16,52,43,0,72,33,30,0,88,46,23,58,10,1,46,0,2,0,15,0,7,95,34,67,33,0,0,14,43,76,0,7,89,0,5,39,0,0,49,0,0,65
2022-12-04,12,0,12,18,77,0,3,38,1,5,10,0,90,19,0,0,17,0,88,0,0,13,80,8,0,3,0,0,1,84,13,4,3,2,90,0,30,10,8,87,24,90,0,0,0,15,75,0,16,42,100,0,76,18,32,0,91,73,28,63,9,1,45,1,2,0,13,0,9,100,74,100,30,0,0,9,28,80,0,9,89,0,7,38,0,0,51,47,0,75
2022-12-11,13,0,13,18,77,0,3,42,1,5,10,0,95,10,0,1,17,1,92,0,0,14,79,7,0,3,0,0,2,72,14,2,0,3,83,0,32,0,8,85,28,95,0,0,0,10,70,0,17,43,68,0,61,24,26,0,93,42,30,44,10,1,42,0,2,0,13,0,10,76,44,96,30,0,0,11,28,79,0,10,84,0,7,37,0,0,42,63,0,0
2022-12-18,9,0,9,11,58,0,2,53,0,4,0,0,94,7,0,0,12,0,80,0,3,12,74,6,0,2,0,0,0,54,12,3,0,0,88,8,24,0,0,62,19,94,0,0,0,11,46,0,12,30,33,0,57,22,18,26,68,38,21,38,8,1,38,0,2,0,12,5,0,68,0,65,0,0,0,8,25,74,0,6,86,0,4,32,0,0,46,53,0,0
2022-12-25,0,0,0,9,51,0,2,43,0,4,7,0,82,8,0,0,11,0,78,0,0,16,56,7,0,2,0,0,0,44,11,0,0,0,87,0,25,0,9,57,15,82,0,0,0,14,37,0,14,27,20,0,56,19,0,0,76,27,22,34,8,1,35,0,2,0,9,0,7,42,0,56,28,0,0,7,24,56,0,8,89,0,5,29,0,0,0,0,0,0
2023-01-01,0,0,0,9,39,0,2,31,0,4,8,0,44,7,0,0,8,0,74,0,0,11,45,4,0,2,0,0,0,37,10,0,0,3,85,0,13,0,7,65,13,44,0,0,0,10,40,0,10,20,0,0,53,17,11,0,57,32,19,0,7,1,35,0,1,0,10,0,0,31,0,36,0,0,0,5,19,45,0,5,84,0,0,27,0,0,50,0,0,0
2023-01-08,0,0,0,11,39,0,2,25,0,2,0,0,42,0,0,0,6,0,59,0,0,15,32,0,0,1,0,0,0,33,7,0,0,0,56,0,11,0,7,73,10,42,0,0,8,5,32,0,8,16,0,0,25,15,15,0,43,19,22,21,7,1,29,0,1,0,5,0,5,25,0,22,0,0,0,4,13,32,0,4,56,0,0,26,0,0,0,48,0,0
2023-01-15,0,9,0,0,31,0,2,21,0,2,0,0,35,0,0,0,5,0,53,0,0,12,26,0,0,1,0,0,0,28,7,2,0,0,45,0,8,0,9,69,12,35,0,0,0,7,32,0,6,12,0,0,24,15,11,0,32,0,19,0,7,0,28,0,1,0,9,0,0,12,0,26,29,0,0,3,12,26,0,4,45,0,0,27,0,0,0,0,0,0
2023-01-22,0,0,0,0,28,0,1,24,0,2,9,0,30,8,0,0,6,0,48,0,0,14,26,3,0,2,0,0,0,28,5,0,0,0,44,0,8,0,9,79,9,30,0,0,0,5,32,0,7,15,0,0,32,0,16,0,38,25,0,0,7,1,25,0,1,0,5,0,4,13,0,0,0,0,0,0,15,26,0,3,45,0,0,30,0,0,0,0,0,0
2023-01-29,0,0,0,0,25,0,1,23,0,2,7,0,28,0,0,0,5,0,48,0,0,11,27,3,0,1,0,0,0,26,7,0,0,0,49,0,7,0,11,69,0,28,0,0,0,7,29,0,9,13,10,0,25,13,0,0,50,28,0,20,7,0,26,0,1,0,0,0,5,17,0,28,29,0,0,4,12,27,0,4,49,0,0,22,0,0,0,0,0,0
2023-02-05,0,0,0,8,32,0,1,23,0,2,0,0,34,0,0,0,5,0,48,0,0,16,25,3,0,1,0,0,0,27,5,0,0,3,43,0,0,0,0,78,18,34,0,0,0,4,32,0,9,13,0,0,30,10,10,0,48,29,0,19,7,0,23,0,1,0,7,0,0,11,0,0,22,0,0,4,16,25,0,4,45,0,0,23,0,0,56,0,0,0
2023-02-12,0,0,0,0,27,0,1,22,0,2,9,0,30,6,0,0,6,0,43,0,0,14,26,0,0,2,0,0,0,24,4,3,0,0,46,7,12,0,10,88,7,30,0,0,0,4,33,0,6,15,0,0,20,0,0,0,34,0,0,20,7,0,23,0,1,0,6,0,0,7,0,22,23,0,0,5,10,26,0,3,46,0,0,22,0,0,0,0,0,0
2023-02-19,0,0,0,0,28,0,0,25,0,3,0,0,30,0,0,1,5,0,48,0,0,13,26,4,0,0,0,0,0,26,5,0,0,3,44,0,8,0,15,81,10,30,0,0,0,4,32,0,7,12,0,0,34,0,20,0,38,0,0,22,7,0,24,0,1,0,7,0,6,9,0,33,32,0,0,6,11,26,0,4,41,0,0,27,0,0,0,0,0,0
2023-02-26,0,0,0,0,35,0,1,21,0,2,8,0,35,6,0,0,5,0,50,0,0,15,28,2,0,2,0,0,0,27,4,0,0,0,44,0,10,0,0,78,10,35,0,0,0,6,34,0,7,13,0,0,23,14,10,0,41,22,0,20,7,0,24,0,1,0,5,0,0,12,0,33,26,0,0,6,16,28,0,5,45,0,0,25,0,0,0,0,0,0
2023-03-05,0,0,0,0,27,0,0,24,0,2,0,0,26,0,0,0,5,2,48,0,0,12,25,3,0,2,0,0,0,25,6,2,0,0,41,0,9,0,0,93,6,26,0,0,0,6,38,0,6,13,0,0,34,0,14,0,32,33,0,0,6,0,24,0,1,0,0,0,0,11,0,0,0,0,0,5,15,25,0,4,41,0,0,21,0,0,0,0,0,0
2023-03-12,0,0,0,0,33,0,1,24,0,2,7,0,30,7,0,1,6,0,48,0,0,11,24,3,0,1,0,0,0,25,5,0,0,0,44,0,7,0,0,72,10,30,0,0,0,5,34,0,6,14,0,0,26,12,11,0,32,0,0,20,7,0,24,0,0,0,7,0,4,9,0,0,0,0,0,5,18,24,0,6,43,0,0,23,0,0,0,44,0,0
2023-03-19,0,0,0,7,36,0,1,23,0,1,0,0,34,11,0,0,5,0,47,0,0,10,26,0,0,2,0,0,0,25,4,0,0,0,39,0,7,0,0,74,12,34,0,0,0,4,38,0,4,13,0,0,28,0,0,0,23,0,0,0,7,0,23,0,1,0,5,0,0,12,0,27,0,0,0,4,13,26,0,4,39,0,0,22,0,0,0,0,0,0
2023-03-26,0,0,0,0,24,0,1,24,0,2,7,0,26,0,0,0,7,0,52,0,0,12,25,4,0,1,0,0,0,25,6,0,0,0,37,0,0,0,0,71,12,26,0,0,0,6,33,0,5,16,0,0,32,0,0,0,29,19,0,0,7,0,24,0,1,0,4,0,5,9,0,24,0,0,0,3,15,25,0,4,37,0,0,23,0,0,0,0,0,0
2023-04-02,0,0,0,7,26,0,1,24,0,2,7,0,29,0,0,0,6,0,46,0,0,9,25,0,0,1,0,0,0,22,5,0,0,0,34,0,12,0,10,67,0,29,0,0,0,5,35,0,6,15,0,0,21,0,12,0,36,25,0,24,7,1,22,0,1,0,6,0,7,12,0,0,0,0,0,5,13,25,0,4,34,0,0,24,0,0,0,0,0,0
2023-04-09,0,0,0,7,25,0,1,21,1,1,0,0,26,0,0,1,6,0,49,0,0,12,24,3,0,1,0,0,0,21,4,2,0,0,35,0,7,0,8,66,10,26,0,0,0,6,34,0,6,14,0,0,23,0,0,0,31,21,0,19,6,0,22,0,1,0,0,0,0,14,0,0,0,0,0,6,17,24,0,3,35,0,0,23,0,0,0,0,0,0
